next_purchase_after_30d,Transaction_Value,Coupon_Status,Gender,Tenure_Months,Delivery_Charges
0,79.0,Unused,F,34,13.78
0,149.0,Unused,F,34,6.5
0,149.0,Unused,F,34,6.5
0,149.0,Unused,F,34,6.5
0,18.39,Unused,F,34,6.5
0,1.5,Unused,F,34,6.5
0,10.99,Unused,F,34,6.5
0,149.0,Unused,F,34,8.7
0,119.0,Unused,F,34,6.5
0,15.99,Unused,F,34,6.5
0,79.19,Unused,F,34,6.5
1,18.55,Used,F,33,6.5
0,7.42,Used,F,33,6.5
0,214.56,Used,F,33,6.5
0,122.77,Used,F,33,6.5
0,122.77,Used,F,33,6.5
0,122.77,Used,F,33,6.5
0,102.13,Used,F,33,6.5
0,81.5,Used,F,33,6.5
0,153.71,Used,F,33,6.5
0,153.71,Used,F,33,6.5
0,153.71,Used,F,33,6.5
0,432.25,Unused,F,33,6.5
0,2.05,Unused,F,33,6.5
0,16.5,Unused,F,33,6.5
0,307.42,Unused,F,33,8.7
0,245.54,Unused,F,33,6.5
0,276.48,Unused,F,33,6.5
0,384.81,Unused,F,33,6.5
0,307.42,Unused,F,33,8.7
0,61.89,Unused,F,33,6.5
0,407.5,Unused,F,33,6.5
0,204.26,Unused,F,33,6.5
0,153.71,Unused,F,33,6.5
0,153.71,Unused,F,33,6.5
0,153.71,Unused,F,33,6.5
0,205.3,Unused,F,33,8.7
0,21.56,Unused,F,33,6.5
0,154.0,Unused,F,33,6.5
0,491.08,Unused,F,33,6.5
0,81.5,Unused,F,33,6.5
0,102.13,Unused,F,33,6.5
0,153.71,Unused,F,33,6.5
1,298.0,Unused,F,33,6.5
0,199.0,Used,F,33,6.5
0,509.7,Used,F,33,6.5
0,397.0,Unused,F,33,6.5
0,3.19,Unused,F,33,6.5
0,15.99,Unused,F,33,18.47
0,15.19,Used,F,33,6.5
0,18.99,Used,F,33,6.5
0,476.0,Used,F,33,6.5
0,16.99,Used,F,33,6.5
0,33.98,Used,F,33,24.47
0,15.99,Used,F,33,6.5
0,99.0,Used,F,33,6.5
0,158.0,Used,F,33,6.5
0,17.59,Used,F,33,6.5
0,149.0,Used,F,33,6.5
0,10.99,Unused,F,33,6.5
0,8.76,Unused,F,33,11.1
0,30.49,Unused,F,33,6.5
0,30.38,Unused,F,33,6.5
0,119.0,Unused,F,33,6.5
0,119.0,Unused,F,33,6.5
0,119.0,Unused,F,33,6.5
0,238.0,Unused,F,33,6.5
0,268.0,Unused,F,33,6.5
0,35.98,Unused,F,33,6.5
0,15.19,Unused,F,33,6.5
0,54.97,Unused,F,33,24.47
0,298.0,Unused,F,33,6.5
0,15.98,Unused,F,33,11.1
0,10.99,Unused,F,33,6.5
0,44.79,Unused,F,33,6.5
0,119.0,Unused,F,33,6.5
0,298.0,Unused,F,33,6.5
0,199.0,Unused,F,33,8.7
0,28.0,Used,F,33,294.0
0,2.5,Used,F,33,6.5
0,95.18,Used,F,33,6.5
0,39.02,Used,F,33,6.5
0,41.59,Used,F,33,6.5
0,51.17,Used,F,33,15.75
0,149.0,Used,F,33,15.75
0,18.38,Unused,F,33,6.5
0,531.4,Unused,F,33,294.0
0,19.48,Unused,F,33,6.5
0,17.58,Unused,F,33,6.5
0,36.7,Unused,F,33,6.5
0,23.92,Unused,F,33,6.5
0,143.88,Unused,F,33,12.91
0,119.0,Unused,F,33,16.85
0,16.99,Unused,F,33,6.5
0,27.18,Unused,F,33,6.5
0,8.79,Unused,F,33,6.5
0,243.7,Unused,F,33,294.0
0,238.0,Unused,F,33,6.5
0,357.0,Unused,F,33,6.5
0,13.59,Unused,F,33,6.5
0,16.99,Unused,F,33,6.5
1,238.0,Used,F,33,6.0
0,126.27,Used,F,33,6.0
0,4.78,Used,F,33,6.0
0,55.67,Used,F,33,6.0
0,15.19,Used,F,33,6.0
0,29.82,Used,F,33,6.0
0,62.66,Used,F,33,6.0
0,317.0,Used,F,33,6.0
0,149.0,Used,F,33,6.0
0,149.0,Used,F,33,6.0
0,52.74,Unused,F,33,6.0
0,47.99,Unused,F,33,30.0
0,4.79,Unused,F,33,6.0
0,13.29,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,1.99,Used,F,33,6.0
0,3.5,Used,F,33,6.0
0,1.2,Used,F,33,6.0
0,19.95,Used,F,33,6.0
0,83.94,Used,F,33,6.0
0,19.99,Used,F,33,20.85
0,209.87,Unused,F,33,6.0
0,20.76,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,149.0,Unused,F,33,8.7
0,119.0,Unused,F,33,6.0
0,237.0,Unused,F,33,6.0
0,2.39,Unused,F,33,6.0
0,19.95,Unused,F,33,6.0
0,5.99,Unused,F,33,6.0
0,29.57,Used,F,33,6.0
0,19.19,Used,F,33,6.0
0,55.99,Used,F,33,6.0
0,238.0,Used,F,33,6.0
0,298.0,Used,F,33,6.0
0,16.78,Unused,F,33,6.0
0,79.99,Unused,F,33,6.0
0,103.98,Unused,F,33,6.0
0,49.57,Unused,F,33,6.0
0,227.88,Unused,F,33,6.0
0,61.59,Unused,F,33,6.0
0,316.0,Unused,F,33,6.0
0,16.99,Unused,F,33,6.0
0,15.19,Unused,F,33,6.0
0,13.59,Unused,F,33,6.0
0,13.99,Used,F,33,6.0
0,198.0,Used,F,33,6.0
0,119.0,Used,F,33,6.0
0,149.0,Used,F,33,6.0
0,28.78,Used,F,33,6.0
0,119.0,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,18.99,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,158.0,Unused,F,33,6.0
0,69.28,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,238.0,Unused,F,33,19.99
0,119.0,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,447.0,Used,F,33,6.0
0,52.58,Unused,F,33,6.0
0,238.0,Unused,F,33,6.0
0,4.78,Unused,F,33,6.0
0,22.9,Used,F,33,6.0
0,29.38,Used,F,33,6.0
0,14.55,Used,F,33,6.0
0,238.0,Used,F,33,6.0
0,28.0,Used,F,33,6.0
0,18.99,Used,F,33,6.0
0,298.0,Used,F,33,6.0
0,99.99,Unused,F,33,6.0
0,29.38,Unused,F,33,6.0
0,7.6,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,15.43,Used,F,33,6.0
0,23.58,Used,F,33,6.0
0,53.17,Used,F,33,6.5
0,31.89,Used,F,33,12.91
0,52.5,Used,F,33,6.0
0,19.99,Used,F,33,6.0
0,119.0,Used,F,33,6.0
0,7.6,Used,F,33,6.0
0,79.0,Used,F,33,12.99
0,395.0,Used,F,33,6.0
0,228.0,Used,F,33,6.0
0,2.8,Unused,F,33,6.0
0,47.19,Unused,F,33,6.0
0,11.75,Unused,F,33,6.0
0,106.74,Unused,F,33,12.91
0,259.35,Unused,F,33,6.0
0,30.38,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,198.0,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,119.0,Unused,F,33,6.0
0,50.08,Unused,F,33,6.0
0,228.0,Unused,F,33,6.0
0,447.0,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,9.09,Unused,F,33,6.0
0,147.55,Unused,F,33,6.0
0,18.63,Unused,F,33,6.0
0,8.4,Unused,F,33,6.0
0,38.37,Unused,F,33,12.91
0,10.8,Unused,F,33,6.0
0,238.0,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,5.28,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,58.5,Used,F,33,106.0
0,147.29,Used,F,33,6.0
0,28.78,Used,F,33,6.0
0,79.99,Used,F,33,6.5
0,4.8,Used,F,33,6.0
0,7.6,Used,F,33,6.0
0,5.7,Used,F,33,6.0
0,19.98,Used,F,33,30.0
0,19.99,Used,F,33,6.0
0,83.45,Unused,F,33,106.0
0,307.5,Unused,F,33,51.81
0,153.37,Unused,F,33,6.0
0,120.59,Unused,F,33,6.0
0,555.0,Unused,F,33,6.0
0,9.49,Unused,F,33,6.0
0,22.48,Unused,F,33,6.0
0,79.0,Unused,F,33,6.0
0,79.0,Unused,F,33,12.99
0,16.99,Unused,F,33,30.0
0,68.16,Unused,F,33,6.0
0,246.0,Unused,F,33,67.28
0,111.98,Unused,F,33,106.0
0,79.99,Unused,F,33,6.5
0,5.7,Unused,F,33,6.0
0,61.19,Used,F,33,6.0
0,119.0,Used,F,33,6.0
0,238.0,Used,F,33,6.0
0,42.0,Used,F,33,6.0
0,7.6,Used,F,33,6.0
0,17.58,Unused,F,33,6.0
0,199.0,Unused,F,33,6.0
0,30.38,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,5.6,Unused,F,33,13.38
0,13.59,Unused,F,33,6.0
0,298.0,Unused,F,33,6.0
0,6.99,Used,F,33,6.0
0,3.98,Used,F,33,12.99
0,17.58,Used,F,33,6.5
0,42.39,Used,F,33,6.0
0,9.96,Unused,F,33,12.99
0,36.0,Unused,F,33,6.0
0,6.0,Unused,F,33,6.0
0,31.98,Unused,F,33,6.5
0,45.06,Used,F,33,12.48
0,15.43,Used,F,33,6.0
0,10.08,Used,F,33,6.0
0,525.52,Used,F,33,26.84
0,19.98,Used,F,33,6.0
0,119.0,Used,F,33,6.0
0,387.0,Used,F,33,6.0
0,19.99,Used,F,33,6.0
0,48.0,Used,F,33,12.48
0,152.76,Unused,F,33,12.48
0,14.4,Unused,F,33,6.0
0,169.28,Unused,F,33,26.84
0,243.14,Unused,F,33,12.48
0,9.98,Unused,F,33,6.0
0,8.0,Unused,F,33,6.0
0,7.95,Unused,F,33,12.48
0,87.53,Unused,F,33,12.48
0,159.6,Unused,F,33,26.84
0,238.0,Unused,F,33,6.0
0,447.0,Unused,F,33,6.0
0,35.0,Unused,F,33,6.0
0,349.0,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,58.38,Used,F,33,6.0
0,199.0,Used,F,33,6.0
0,17.99,Used,F,33,6.0
0,334.6,Used,F,33,24.56
0,387.0,Used,F,33,6.0
0,79.99,Unused,F,33,6.0
0,334.6,Unused,F,33,24.56
0,11.75,Unused,F,33,6.0
0,219.75,Unused,F,33,12.91
0,298.0,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,158.0,Unused,F,33,6.0
0,13.59,Unused,F,33,6.0
0,149.0,Unused,F,33,6.0
0,23.85,Unused,F,33,12.91
0,17.5,Used,F,33,6.0
0,100.0,Used,F,33,0.0
0,100.0,Used,F,33,0.0
0,100.0,Used,F,33,0.0
0,250.0,Used,F,33,0.0
0,46.32,Used,F,33,12.48
0,9.12,Used,F,33,6.5
0,15.2,Used,F,33,6.0
0,596.0,Used,F,33,6.0
0,52.52,Unused,F,33,12.48
0,10.99,Unused,F,33,6.0
0,52.5,Unused,F,33,6.0
0,398.0,Unused,F,33,19.99
0,100.0,Unused,F,33,0.0
0,100.0,Unused,F,33,0.0
0,100.0,Unused,F,33,0.0
0,100.0,Unused,F,33,0.0
0,100.0,Unused,F,33,0.0
0,100.0,Unused,F,33,0.0
0,100.0,Unused,F,33,0.0
0,99.0,Unused,F,33,6.0
0,4.08,Unused,F,33,6.5
0,298.0,Unused,F,33,12.99
0,52.5,Unused,F,33,6.0
0,100.0,Unused,F,33,0.0
0,18.99,Used,F,33,6.0
0,349.0,Used,F,33,6.0
0,9.5,Used,F,33,6.0
0,79.0,Used,F,33,6.0
0,15.99,Unused,F,33,6.0
0,27.18,Unused,F,33,6.0
0,46.17,Unused,F,33,20.85
0,36.0,Unused,F,33,6.0
0,48.75,Unused,F,33,6.0
0,632.0,Unused,F,33,6.0
0,3.19,Unused,F,33,20.85
0,3.5,Unused,F,33,6.0
0,14.0,Unused,F,33,6.0
0,447.0,Unused,F,33,6.0
1,6.93,Used,F,33,6.5
0,8.65,Used,F,33,6.0
0,27.52,Unused,F,33,6.0
0,16.3,Unused,F,33,6.5
0,30.15,Used,F,33,6.5
0,57.07,Used,F,33,6.5
0,17.93,Used,F,33,6.5
0,4167.33,Used,F,33,6.0
0,13.04,Used,F,33,12.48
0,3.87,Used,F,33,6.5
0,121.3,Used,F,33,6.5
0,3.47,Used,F,33,6.5
0,402.6,Used,F,33,6.5
0,303.76,Used,F,33,6.5
0,17.93,Unused,F,33,6.5
0,117.39,Unused,F,33,6.5
0,202.84,Unused,F,33,6.5
0,59.52,Unused,F,33,12.48
0,2240.94,Unused,F,33,6.0
0,185.43,Unused,F,33,6.0
0,7.74,Unused,F,33,6.5
0,242.6,Unused,F,33,6.5
0,355.74,Unused,F,33,6.5
0,355.74,Unused,F,33,6.5
0,151.88,Unused,F,33,6.5
0,1029.12,Unused,F,33,6.0
0,0.41,Unused,F,33,6.5
0,3137.61,Unused,F,33,6.0
0,16.3,Unused,F,33,6.5
0,7.74,Unused,F,33,12.48
0,40.78,Used,F,33,6.5
0,19.56,Used,F,33,6.5
0,19.56,Used,F,33,6.5
0,14.5,Used,F,33,6.0
0,9.15,Used,F,33,6.0
0,3.25,Unused,F,33,6.5
0,202.84,Unused,F,33,12.99
0,5.09,Unused,F,33,6.0
0,19.56,Unused,F,33,6.5
0,100.91,Unused,F,33,12.99
0,201.82,Unused,F,33,12.99
0,81.53,Unused,F,33,12.99
0,2.03,Unused,F,33,6.0
0,151.88,Unused,F,33,6.5
0,161.04,Unused,F,33,6.5
0,6.94,Used,F,33,6.5
0,26.48,Used,F,33,6.0
0,202.84,Used,F,33,6.5
0,100.91,Used,F,33,6.5
0,22.41,Used,F,33,6.0
0,24.45,Used,F,33,6.0
0,242.6,Used,F,33,6.5
0,355.74,Used,F,33,6.5
0,241.56,Used,F,33,6.5
0,80.52,Used,F,33,6.5
0,241.56,Used,F,33,6.5
0,151.88,Used,F,33,12.99
0,10.59,Unused,F,33,6.5
0,39.74,Unused,F,33,6.0
0,152.88,Unused,F,33,6.0
0,24.45,Unused,F,33,6.0
0,394.48,Unused,F,33,6.5
0,242.6,Unused,F,33,6.5
0,121.3,Unused,F,33,6.5
0,121.3,Unused,F,33,6.5
0,161.04,Unused,F,33,6.5
0,151.88,Unused,F,33,6.5
0,151.88,Unused,F,33,6.5
0,151.88,Unused,F,33,6.5
0,151.88,Unused,F,33,12.99
0,121.3,Unused,F,33,12.99
0,121.3,Unused,F,33,6.5
0,402.6,Unused,F,33,12.99
1,33.46,Used,F,48,12.48
0,31.92,Unused,F,48,12.48
1,199.98,Used,F,4,6.0
0,476.0,Used,F,4,6.0
0,44.79,Unused,F,4,6.0
0,377.0,Unused,F,4,6.0
0,3.98,Used,F,4,12.99
0,71.94,Used,F,4,12.91
0,9.57,Used,F,4,6.0
0,58.23,Used,F,4,17.08
0,18.99,Used,F,4,6.0
0,287.4,Used,F,4,17.08
0,30.28,Used,F,4,6.0
0,13.59,Used,F,4,6.0
0,119.0,Used,F,4,6.0
0,238.0,Used,F,4,12.99
0,30.38,Used,F,4,6.0
0,79.0,Used,F,4,6.0
0,237.0,Used,F,4,6.0
0,447.0,Used,F,4,12.99
0,149.0,Used,F,4,6.0
0,10.99,Unused,F,4,12.99
0,54.32,Unused,F,4,6.0
0,193.38,Unused,F,4,48.59
0,292.38,Unused,F,4,17.08
0,107.91,Unused,F,4,12.91
0,15.19,Unused,F,4,6.0
0,118.56,Unused,F,4,6.0
0,119.0,Unused,F,4,6.0
0,238.0,Unused,F,4,6.0
0,119.0,Unused,F,4,6.0
0,387.0,Unused,F,4,6.0
0,138.58,Unused,F,4,6.0
0,15.19,Unused,F,4,6.0
0,149.0,Unused,F,4,6.0
0,149.0,Unused,F,4,6.0
0,18.99,Unused,F,4,6.0
0,13.59,Unused,F,4,6.0
0,149.0,Unused,F,4,6.0
0,298.0,Unused,F,4,6.0
0,149.0,Unused,F,4,6.0
0,15.19,Unused,F,4,6.0
0,60.0,Unused,F,4,6.5
0,79.0,Unused,F,4,6.0
0,439.78,Unused,F,4,48.59
1,51.94,Used,F,46,6.0
0,199.0,Used,F,46,6.0
0,24.8,Used,F,46,6.0
0,5.57,Unused,F,46,6.0
0,119.0,Unused,F,46,6.0
0,119.0,Unused,F,46,6.0
0,119.0,Unused,F,46,6.0
0,5.28,Unused,F,46,6.0
0,2.8,Unused,F,46,6.0
0,4.8,Unused,F,46,6.0
1,7.95,Used,M,31,6.0
0,20.99,Used,M,31,6.0
0,67.19,Used,M,31,6.0
0,149.0,Used,M,31,6.0
0,316.0,Used,M,31,6.0
0,237.0,Used,M,31,6.0
0,52.38,Used,M,31,6.0
0,51.24,Unused,M,31,6.0
0,173.57,Unused,M,31,6.0
0,44.79,Unused,M,31,6.0
0,40.27,Unused,M,31,6.0
0,238.0,Unused,M,31,6.0
0,417.0,Unused,M,31,6.0
0,149.0,Unused,M,31,8.7
0,17.49,Unused,M,31,6.0
0,15.99,Unused,M,31,6.0
0,158.0,Unused,M,31,6.0
0,13.59,Unused,M,31,6.0
0,23.99,Unused,M,31,6.0
0,298.0,Unused,M,31,6.0
0,3.99,Unused,M,31,6.0
0,66.06,Unused,M,31,6.0
0,15.19,Unused,M,31,6.0
0,149.0,Unused,M,31,6.0
0,7.96,Used,M,31,12.99
0,59.15,Used,M,31,6.0
0,31.27,Used,M,31,6.0
0,119.0,Used,M,31,6.0
0,119.0,Used,M,31,6.0
0,119.0,Used,M,31,6.0
0,149.0,Used,M,31,6.0
0,237.0,Used,M,31,6.0
0,158.0,Used,M,31,6.0
0,298.0,Used,M,31,6.0
0,149.0,Used,M,31,6.0
0,149.0,Used,M,31,6.0
0,199.0,Used,M,31,8.7
0,25.17,Unused,M,31,19.99
0,20.92,Unused,M,31,12.99
0,25.97,Unused,M,31,6.0
0,55.99,Unused,M,31,6.0
0,13.29,Unused,M,31,6.0
0,119.0,Unused,M,31,6.0
0,119.0,Unused,M,31,6.0
0,119.0,Unused,M,31,6.0
0,119.0,Unused,M,31,6.0
0,238.0,Unused,M,31,6.0
0,238.0,Unused,M,31,6.0
0,447.0,Unused,M,31,8.7
0,298.0,Unused,M,31,8.7
0,119.0,Unused,M,31,6.0
0,149.0,Unused,M,31,6.0
0,79.0,Unused,M,31,6.0
0,237.0,Unused,M,31,6.0
0,149.0,Unused,M,31,6.0
0,199.0,Unused,M,31,8.7
0,3.99,Unused,M,31,6.0
0,26.37,Unused,M,31,19.99
0,11.99,Unused,M,31,6.0
0,238.0,Unused,M,31,6.0
0,19.99,Unused,M,31,6.0
0,79.0,Unused,M,31,6.0
0,316.0,Unused,M,31,6.0
1,56.0,Used,F,18,12.48
0,199.0,Used,F,18,6.0
0,33.98,Used,F,18,6.0
0,99.0,Unused,F,18,6.0
0,38.38,Unused,F,18,6.0
0,57.36,Unused,F,18,12.48
0,79.19,Unused,F,18,6.0
0,27.18,Unused,F,18,6.0
0,357.0,Unused,F,18,6.0
0,149.0,Unused,F,18,6.0
0,199.0,Unused,F,18,8.7
0,119.0,Used,F,18,6.0
0,5.7,Unused,F,18,6.0
1,57.26,Used,F,18,6.5
0,112.05,Used,F,18,6.0
0,17.93,Used,F,18,6.5
0,22.41,Used,F,18,6.0
0,5.61,Used,F,18,6.0
0,82.96,Used,F,18,6.5
0,3.47,Used,F,18,6.5
0,3.47,Used,F,18,6.5
0,151.88,Used,F,18,6.5
0,35.86,Unused,F,18,6.5
0,170.92,Unused,F,18,6.0
0,17.93,Unused,F,18,6.5
0,36.27,Unused,F,18,6.5
0,17.93,Unused,F,18,6.5
0,15.27,Unused,F,18,6.0
